controlNumber,prefLabel,scopeNote,prefLabelEnglish,embeddingPromptEnglish,translationModel,translationPromptVersion
164953,Selvas,,Selvas,A photograph depicting Selvas.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164954,Semantik,se även resp språk med tillägg .023.,semantics,A photograph depicting semantics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164955,Semantik (filosofi),,semantics (philosophy),A photograph depicting semantics (philosophy).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167451,Semantik--psykologiska aspekter,se även resp språk med tillägg .023.,psychological aspects of semantics,A photograph depicting psychological aspects of semantics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
319339,Semantiska webben,,semantic web,A photograph depicting semantic web.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
w9d5d59ptkrp0z0r,Sembla (språk),,Sembla language,A photograph depicting Sembla language.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164956,Semester,,vacation,A photograph depicting vacation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
379823,Semester--juridik och lagstiftning,,legal vacation,A photograph depicting legal vacation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164959,Semesterersättning,,summer stipend,A photograph depicting summer stipend.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164960,Semesterhem,,vacation home,A photograph depicting vacation home.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
390718,Semesterresor,,vacation_trips,A photograph depicting vacation_trips.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164964,Seminarier,,seminars,A photograph depicting seminars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164962,Seminarier (lärarutbildningsanstalter),,teacher training seminars,A photograph depicting teacher training seminars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164965,Seminföreningar,särsk Qdf:bf,societies,A photograph depicting societies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
158922,Semiotik,"- kommunikation Bra, - språkfilosofi F:d.",semiotics,A photograph depicting semiotics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164966,Semiotik och litteratur,Tidigare Semiotik - litteraturvetenskap. Ändrat 2003-02-27.,semiotics and literature,A photograph depicting semiotics and literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
283404,Semiter,,Semitic artifact,A photograph depicting Semitic artifact.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168437,Semitisk litteratur,För litteraturen i sig se Hs.,Semitic literature,A photograph depicting Semitic literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164972,Semitisk litteratur--historia,,Semitic literature history,A photograph depicting Semitic literature history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
333182,Semitisk mytologi,,Semitic mythology,A photograph depicting Semitic mythology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164974,Semitisk religion,,Semitic religion,A photograph depicting Semitic religion.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164975,Semitiska språk,,Semitic languages,A photograph depicting Semitic languages.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
363218,Semitister,,Semitister,A photograph depicting Semitister.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
268661,Semlor,,semolina buns,A photograph depicting semolina buns.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
163417,SEN,,SEN,A photograph depicting SEN.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164976,Senap,"- matlagning Qcaa, - växter Uffab.",mustard,A photograph depicting mustard.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164977,"Senap--framställning, tillverkning etc.",,mustard-production,A photograph depicting mustard-production.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164979,Senaten,,Senate,A photograph depicting Senate.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166507,Senatorer,,senators,A photograph depicting senators.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164986,Senegal,Särsk orter Npcccz.,Senegal,A photograph depicting Senegal.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
142544,Senegal--Dakar,,Senegal--Dakar,A photograph depicting Senegal--Dakar.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
402317,Senegaleser,Hit verk om senegaleser utanför Senegal. Används endast tillsammans med geografiskt ämnesord. För verk om senegaleser i Senegal används t.ex. Nationalkaraktär; Folkseder; Samhällsliv; Traditioner; Sociala förhållanden i kombination med Senegal.,African Senegalese abroad,A photograph depicting African Senegalese abroad.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
371188,Senegalesisk matlagning,,Senegalese cooking,A photograph depicting Senegalese cooking.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164987,Sengångare,,bedridden-person,A photograph depicting bedridden-person.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
142745,Senil demens,,senile dementia,A photograph depicting senile dementia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164988,Senil psykos,"- schizofreni och andra psykotiska syndrom Vlaaa, - geriatrisk psykiatri Vlf.",senile psychosis,A photograph depicting senile psychosis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164989,Senilitet,,senility,A photograph depicting senility.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164990,Senlatin,,Latin晚期,A photograph depicting Latin晚期.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161756,Senmedeltiden,,Late Middle Ages,A photograph depicting Late Middle Ages.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164991,Sennenhund (rasgrupp),,Swiss Mountain Dog breed group,A photograph depicting Swiss Mountain Dog breed group.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
224999,Senor,,gentleman,A photograph depicting gentleman.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164992,Senrenässans,,Renaissance,A photograph depicting Renaissance.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164994,Senromantiken,,Romanticism晚期,A photograph depicting Romanticism晚期.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164998,Sensationalism,särsk filosofer Dbz,Sensationalism,A photograph depicting Sensationalism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167837,Sensationsfilm,,sensation film,A photograph depicting sensation film.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
231048,Sensationsjournalistik,,sensational journalism,A photograph depicting sensational journalism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164999,Sensationsromaner,"se även resp litteraturhistoria med tillägg .093 eller  .01. För genren i sig se H.01 och resp skönlitteratur med tillägg .01, t ex svensk Hc.01",sensation novels,A photograph depicting sensation novels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
364151,Sensitivitet (personlighetsdrag),,sensitivity (personality trait),A photograph depicting sensitivity (personality trait).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165000,Sensitivitetsträning,,sensitivity training,A photograph depicting sensitivity training.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
283405,Sensitometri,,sensitometry,A photograph depicting sensitometry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166431,Sensorisk analys,,sensory analysis,A photograph depicting sensory analysis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165002,Sensoriska processer,"- fysiologisk psykologi Dode, - pedagogisk psykologi Eaaca",sensory processes,A photograph depicting sensory processes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165003,Sentimentala komedier,Se ven resp litteraturhistoria med tillgg 02 Fr genren i sig se H02 och resp sknlitteratur med tillgg 02 t ex svensk Hc02,sentimental comedies,A photograph depicting sentimental comedies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165004,Sentimentala romaner,Se ven resp litteraturhistoria med tillgg 01Fr genren i sig se H01 och resp sknlitteratur med tillgg 01 t ex svensk Hc01,sentimental novels,A photograph depicting sentimental novels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
292870,Sentimentalitet,,sentimentality,A photograph depicting sentimentality.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
292871,Sentimentalitet i litteraturen,,sentimentality in literature,A photograph depicting sentimentality in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
174309,Senufo (folk),,Senufo people,A photograph depicting Senufo people.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165005,Senusier,,Senusier,A photograph depicting Senusier.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
255992,Separation (psykologi),,psychological separation,A photograph depicting psychological separation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
255993,Separation (psykologi) i litteraturen,,psychological separation in literature,A photograph depicting psychological separation in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165006,Separationsrätt,,divorce rights,A photograph depicting divorce rights.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165007,Separationsångest,"- psykologi Dodf, - psykiatri Vla.",separation anxiety,A photograph depicting separation anxiety.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
163750,Separatism,se även resp lands historia,Separatism,A photograph depicting Separatism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165009,Separatorer,se även resp användningsområde,separators,A photograph depicting separators.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165010,Separering (teknik),,separation technique,A photograph depicting separation technique.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165013,"Sepoyupproret, Indien, 1857-1858",,"Indian Sepoy Rebellion, 1857-1858","A photograph depicting Indian Sepoy Rebellion, 1857-1858.",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141180,Sepsis,,sepsis,A photograph depicting sepsis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165015,Septetter,,septet,A photograph depicting septet.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165017,Septuaginta,,Septuagint,A photograph depicting Septuagint.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164940,Sequenser,,sequence,A photograph depicting sequence.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
138625,Serafimerorden,,Serafimerorder,A photograph depicting Serafimerorder.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167415,Serapionsbröderna,,Serapion Brothers,A photograph depicting Serapion Brothers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165019,Serapiskult,,serapeum,A photograph depicting serapeum.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165020,Serber,,Serbs,A photograph depicting Serbs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165021,Serber--historia,,Serbian history,A photograph depicting Serbian history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165025,Serbien,För verk om landets historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia. | Särsk orter Nnbz.,Serbia,A photograph depicting Serbia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
220169,Serbien och Montenegro,,Serbia and Montenegro,A photograph depicting Serbia and Montenegro.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
140665,Serbien--Belgrad,,Serbia--Belgrade,A photograph depicting Serbia--Belgrade.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
222820,Serbisk experimentell litteratur,,Serbian experimental literature,A photograph depicting Serbian experimental literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
374466,Serbisk konst,,Serbian art,A photograph depicting Serbian art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168417,Serbisk litteratur,För litteraturen i sig se Hmf.,Serbian literature,A photograph depicting Serbian literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165026,Serbisk litteratur--historia,,Serbian literature history,A photograph depicting Serbian literature history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
371190,Serbisk matlagning,,Serbian cuisine,A photograph depicting Serbian cuisine.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
372595,Serbisk målarkonst,,Serbian painting,A photograph depicting Serbian painting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
217516,Serbisk poesi,,Serbian poetry,A photograph depicting Serbian poetry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
373671,Serbisk porträttkonst,,Serbian portrait art,A photograph depicting Serbian portrait art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
267418,Serbiska historiska romaner,För genren i sig används SAB-kod Hmf.01.,Serbian historical novels,A photograph depicting Serbian historical novels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
267419,Serbiska romaner,För genren i sig används SAB-kod Hmf.01.,Serbian novels,A photograph depicting Serbian novels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
219331,Serbiska språket,,Serbian language,A photograph depicting Serbian language.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
372596,Serbiskt muralmåleri,,Serbian mural painting,A photograph depicting Serbian mural painting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
374880,Serbiskt väggmåleri,,Serbian wall painting,A photograph depicting Serbian wall painting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
216405,Serbokroatisk litteratur,För litteraturen i sig se Hmf.,Serbo-Croatian literature,A photograph depicting Serbo-Croatian literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165027,Serbokroatisk litteratur--historia,,Serbo-Croatian literature history,A photograph depicting Serbo-Croatian literature history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165029,Serbokroatiska språket,,Serbo-Croatian language,A photograph depicting Serbo-Croatian language.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165030,Serenader,,serenaders,A photograph depicting serenaders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
331236,Serer (folk),,Serer people,A photograph depicting Serer people.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165036,Serer (språk),,Serer language,A photograph depicting Serer language.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
313533,Seriefigurer,Se även ämnesord för särskilda seriefigurer t.ex. Kalle Anka (fiktiv gestalt).,comic strip characters,A photograph depicting comic strip characters.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143047,Seriell musik,,serial music,A photograph depicting serial music.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165038,Seriella  publikationer,Även genre/formterm.,serial publications,A photograph depicting serial publications.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
170330,Seriemord,"- straffrätt Oeb, - kriminologi Oepa. -  Hit förs verk om mord begångna av en person under en längre tidsperiod, förövade på flera ställen och vanligen omfattande endast ett offer åt gången",serial murders,A photograph depicting serial murders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
170331,Seriemördare,Särsk Lz. | Tidigare SAB-kod Oe. Ändrat 2004-09-23.,serial killer,A photograph depicting serial killer.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165041,Serier (matematik),,mathematical series,A photograph depicting mathematical series.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
266203,Serieromaner,"En längre sammanhängande och avslutad berättande serie, som är minst 65 – 100 sidor lång (verkets ”längd” har även att göra med t ex antal bilder per sida, och kan därav inte definieras enbart av sidantal). Begreppet avser ej samlingar av episoder i en längre löpande serie om inte dessa bildar en större helhet, som är tydligt sammanhängande och avslutad. | Även genre/formterm.",serial novels,A photograph depicting serial novels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165042,Serietecknare,"- litteraturvetenskap G.05, - teckningskonst Ig, särsk Ibz.",illustrator,A photograph depicting illustrator.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165044,Serietillverkning,,mass production,A photograph depicting mass production.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165202,Serigrafi,"- tryckeriteknik Poa, - grafisk konst If, - textiltryck Pjbad.",screen printing,A photograph depicting screen printing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165047,Serologi,,serology,A photograph depicting serology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165048,Serotonin,"- organisk kemi Uceb, - biokemi Ue.0482, - nervsystemet Vef. Tidigare utan SAB-koder. Ändrat 2009-02-19.",Serotonin,A photograph depicting Serotonin.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165050,Serpent,,snake,A photograph depicting snake.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165053,Serumterapi,,serum therapy,A photograph depicting serum therapy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165054,Servering,,serving,A photograph depicting serving.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165066,Serverprogram,,server program,A photograph depicting server program.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165055,Servettbrytning,,towel folding,A photograph depicting towel folding.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166508,Servetter,"- dukning Qcai, - konsthantverk Ihc",napkins,A photograph depicting napkins.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161758,Service management,,service management,A photograph depicting service management.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165058,Servicebostäder,,service apartments,A photograph depicting service apartments.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165060,Servicebostäder för handikappade,,accessible housing units,A photograph depicting accessible housing units.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165059,Servicebostäder för äldre,,senior housing,A photograph depicting senior housing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
228727,Servicehundar,"- handikapphjälpmedel Ohfh, - hundar Qdfja.",assistance dogs,A photograph depicting assistance dogs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
352348,Serviceyrken,,service occupations,A photograph depicting service occupations.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
238762,Serviser,"- dukning Qcai, - keramik och glas Ihf.",tableware,A photograph depicting tableware.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
214825,Servitriser,Särsk Lz.,waitresses,A photograph depicting waitresses.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165061,Servitut,,servitude_right,A photograph depicting servitude_right.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
278642,Servitörer,Särsk Lz.,servers,A photograph depicting servers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165062,Servomekanismer,,servomechanisms,A photograph depicting servomechanisms.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165064,Servoteknik,,servotechnology,A photograph depicting servotechnology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165067,Setter (rasgrupp),,setter breed,A photograph depicting setter breed.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
233301,Setu,,Setu,A photograph depicting Setu.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
252151,Setukeser,,setuptools,A photograph depicting setuptools.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
350787,Sevdalinka,"Bosnien, traditionell urban kärlekssång",sevdalinka,A photograph depicting sevdalinka.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165072,Sevärdheter,,landmarks,A photograph depicting landmarks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
307502,Sex sigma,,six sigma,A photograph depicting six sigma.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165090,Sex- och samlevnadsundervisning,,sex education,A photograph depicting sex education.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165074,Sexdagarskriget 1967,,Six-Day War 1967,A photograph depicting Six-Day War 1967.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
247990,Sexindustri,,sex industry,A photograph depicting sex industry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165075,Sexism,,sexism,A photograph depicting sexism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
215554,Sexism i filmen,,sexism in film,A photograph depicting sexism in film.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
324830,Sexism i konsten,,sexism in art,A photograph depicting sexism in art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
l1pfg4zcj54zxc2r,Sexism i läromedel,,sexism in textbooks,A photograph depicting sexism in textbooks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
333198,Sexism i massmedia,,sexism in media,A photograph depicting sexism in media.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
1drrxcwjzpxmlpdz,Sexköpare,,sex buyer,A photograph depicting sex buyer.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
p2fgn9bvm36zh0n2,Sexköpare--attityder,,sex buyer attitudes,A photograph depicting sex buyer attitudes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
t683w7k9r1zklx9w,Sexleksaker,,sex toys,A photograph depicting sex toys.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
151923,Sexliv,,sexuality,A photograph depicting sexuality.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
364152,Sexmissbruk,,sexual abuse,A photograph depicting sexual abuse.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165076,Sexnationsinitiativet,,Six-Nations Initiative,A photograph depicting Six-Nations Initiative.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165077,Sexologi,,sexology,A photograph depicting sexology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
333224,Sextant,"- fartyg och sjöfart. Manöverorgan och instrument Prcad, - astronomi - instrumentlära Ua.02.",sextant,A photograph depicting sextant.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165078,Sextetter,,quadrette,A photograph depicting quadrette.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165080,Sextimmarsdag,,sixteen-hour-day,A photograph depicting sixteen-hour-day.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161759,Sexturism,,sex tourism,A photograph depicting sex tourism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
164889,Sexualbrott,kriminologi Oepa; straffrätt Oeb,sexual crimes,A photograph depicting sexual crimes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
172007,Sexualbrottslingar,"- kriminologi Oepa, - straffrätt Oeb",sex offender,A photograph depicting sex offender.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165083,Sexualetik,kristen etik Cfvn,Christian sexual ethics,A photograph depicting Christian sexual ethics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
4n6rlwj92q4gntr4,Sexualetik--historia,,sexual ethics history,A photograph depicting sexual ethics history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165085,Sexualitet,,Sexuality,A photograph depicting Sexuality.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398566,Sexualitet i Bibeln,,Biblical sexuality,A photograph depicting Biblical sexuality.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
250277,Sexualitet i dansen,,sexuality in dance,A photograph depicting sexuality in dance.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
226642,Sexualitet i filmen,,sexuality in film,A photograph depicting sexuality in film.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
226643,Sexualitet i konsten,,sexuality in art,A photograph depicting sexuality in art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
170367,Sexualitet i litteraturen,,Sexuality in literature,A photograph depicting Sexuality in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
171973,Sexualitet i massmedia,,sexuality in mass media,A photograph depicting sexuality in mass media.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
323375,Sexualitet i operan,,sexuality in opera,A photograph depicting sexuality in opera.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
272817,Sexualitet i reklamen,,sexuality in advertising,A photograph depicting sexuality in advertising.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
v6hn2b93sg8hbp56,Sexualitet i sceniska konsten,,sexualty in performing arts,A photograph depicting sexualty in performing arts.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165086,Sexualitet--historia,,sexuality history,A photograph depicting sexuality history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
172067,Sexualitet--religiösa aspekter,,sexualities religious aspects,A photograph depicting sexualities religious aspects.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165088,Sexualmord,,sexual murder,A photograph depicting sexual murder.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167870,Sexualpolitik,,sex politics,A photograph depicting sex politics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165089,Sexualrådgivning,,sex counseling,A photograph depicting sex counseling.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165084,Sexuell hälsa,,sexual health,A photograph depicting sexual health.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
305579,Sexuell läggning,,sexual position,A photograph depicting sexual position.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
l4mdcd5njhvqmv8m,Sexuell njutning,,sexual pleasure,A photograph depicting sexual pleasure.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
268662,Sexuell selektion,,sexual selection,A photograph depicting sexual selection.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
157495,Sexuella avvikelser,,sexual anomalies,A photograph depicting sexual anomalies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165091,Sexuella fantasier,,sexual fantasies,A photograph depicting sexual fantasies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
388259,Sexuella fantasier i litteraturen,,sexual fantasies in literature,A photograph depicting sexual fantasies in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165092,Sexuella funktionsstörningar,"- sexologi, - gynekologi och andrologi Vg",sexual disorders,A photograph depicting sexual disorders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
165093,Sexuella trakasserier,"- könsrollsfrågor Ohj, - arbete och arbetsmarknad Ohae.",sexual harassment,A photograph depicting sexual harassment.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
